Experiment,Parameter,Best Val Acc,Final Val Acc,Final Val Loss
Learning Rate,0.0001,0.4170,0.4170,2.2173
Learning Rate,0.001,0.7035,0.7035,0.8214
Learning Rate,0.01,0.8396,0.8396,0.4509
Learning Rate,0.1,0.8834,0.8789,0.3384
Batch Size,16,0.8733,0.8626,0.3789
Batch Size,32,0.8576,0.8430,0.4283
Batch Size,64,0.8394,0.8383,0.4555
Batch Size,128,0.8207,0.8207,0.5034
Architecture,小网络,0.8377,0.8377,0.4576
Architecture,中网络,0.8374,0.8352,0.4597
Architecture,大网络,0.8410,0.8405,0.4521
Optimizer,SGD,0.8373,0.8373,0.4562
Optimizer,Adam,0.8891,0.8872,0.3216
